Model,Accuracy,95% Confidence Interval
story_analogies_near_logits_mistral7b_basic_prompt.csv,0.58,[0.41 - 0.74]
story_analogies_near_logits_mistral7b_basic_prompt_not_forced.csv,0.53,[0.35 - 0.70]
story_analogies_near_logits_mistral7b_cot.csv,0.22,[0.10 - 0.39]
story_analogies_near_logits_mistral7b_cot_structured.csv,0.61,[0.43 - 0.77]
story_analogies_near_logits_llama3_basic_prompt.csv,0.67,[0.49 - 0.81]
story_analogies_near_logits_llama3_basic_prompt_not_forced.csv,0.56,[0.38 - 0.72]
story_analogies_near_logits_llama3_cot.csv,0.75,[0.58 - 0.88]
story_analogies_near_logits_llama3_cot_structured.csv,0.00,[0.00 - 0.10]
story_analogies_near_logits_starling7b-beta_basic_prompt.csv,0.83,[0.67 - 0.94]
story_analogies_near_logits_starling7b-beta_basic_prompt_not_forced.csv,0.72,[0.55 - 0.86]
story_analogies_near_logits_starling7b-beta_cot.csv,0.36,[0.21 - 0.54]
story_analogies_near_logits_starling7b-beta_cot_structured.csv,0.67,[0.49 - 0.81]
